drug,drug_class,config,auroc,accuracy,macro_f1,brier_score
EFV,NNRTI,No Attention,0.936298076923077,0.88,0.8798076923076923,0.10506511846098258
EFV,NNRTI,With Calibration,0.569911858974359,0.53,0.4643874643874644,0.30348633704907796
EFV,NNRTI,Without Calibration,0.6794871794871795,0.52,0.36000000000000004,0.24588525993036423
ETR,NNRTI,Full Model,0.49666666666666665,0.6,0.375,0.24083128107428453
ETR,NNRTI,No Rarity,0.5241666666666667,0.6,0.375,0.2398537336371997
ETR,NNRTI,No Attention,0.7175,0.65,0.6395839769333744,0.27917136077076843
ETR,NNRTI,With Calibration,0.4533333333333333,0.6,0.375,0.24000284595160065
ETR,NNRTI,Without Calibration,0.49666666666666665,0.6,0.375,0.24083128107428453
NVP,NNRTI,Full Model,0.56875,0.6,0.375,0.2356335410127482
NVP,NNRTI,No Rarity,0.5604166666666667,0.6,0.375,0.23963246387123172
NVP,NNRTI,No Attention,0.9383333333333332,0.89,0.8867263927504891,0.0928032453340065
NVP,NNRTI,With Calibration,0.5454166666666665,0.61,0.49942241047362346,0.24184794620535466
NVP,NNRTI,Without Calibration,0.56875,0.6,0.375,0.2356335410127482
RPV,NNRTI,Full Model,0.5853140916808149,0.62,0.38271604938271603,0.2324998059029546
RPV,NNRTI,No Rarity,0.5466893039049237,0.62,0.38271604938271603,0.2356215886091361
RPV,NNRTI,No Attention,0.7733446519524618,0.77,0.757153415690001,0.22356376606697712
RPV,NNRTI,With Calibration,0.541383701188455,0.65,0.539413080668509,0.21981480412764853
RPV,NNRTI,Without Calibration,0.5853140916808149,0.62,0.38271604938271603,0.2324998059029546
